VULN,USAGE (UI entry point),QUICK URL (example),API / Endpoint(s),HOW TO CHECK (UI-safe),EXPECTED RESULT,FLAG LOCATION (info only),STATUS (PASS/FAIL/NA)
SQL Injection (SQLi),/search (Server Results panel); /post/[id] (URL bar),http://localhost:3000/search?q=hello,"/api/search?q=… , /api/posts/[id]","On /search, type a normal word and confirm the Server-Rendered HTML panel updates. For /post, open /post/1 then /api/posts/1 in a new tab to confirm the endpoint exists.",Server snippet shows results; /api/posts/1 returns JSON (or a valid error).,Table `secrets.sflag` via SQLi on search; do not include exploit in normal run.,
Reflected XSS,/search (reflects query inside server HTML),http://localhost:3000/search?q=hello,/api/search?q=…,Enter a benign term on /search; confirm the same term is reflected in the Server Results panel.,Your benign term appears in the server-rendered HTML panel.,Reflected XSS flag is tied to admin cookie/session in full exercise.,
Stored XSS,/contact → then /admin/messages,http://localhost:3000/contact,"/api/contact (POST), /api/admin/messages","Submit a harmless HTML snippet (e.g., <b>hi</b>) on /contact; open /admin/messages and confirm it renders as HTML.",Admin Messages page shows your <b>hi</b> in bold. XSS flag badge is visible on the page.,XSS flag exposed on /admin/messages (NEXT_PUBLIC_XSS_FLAG).,
Server-Side Template Injection (SSTI),/contact (Advanced fields) and /feed.xml?titleTpl=,http://localhost:3000/feed.xml?titleTpl={{7*7}},"/api/contact, /feed.xml",Set subjectTpl to a benign expression like {{7*7}} and submit; or open /feed.xml?titleTpl={{7*7}} to see if the title is evaluated (numbers appear instead of template literal).,"Feed title or mail preview shows evaluated output (e.g., 49).",SSTI flag available via mailer/templater sidecar in full exercise.,
Vulnerable Components,/system (Components & Links) and /search (loads jQuery 1.8.3),http://localhost:3000/system,/api/components-status (if present),"Open /system to verify jQuery 1.8.3 note; on /search, check DevTools → Sources to see jquery-1.8.3.min.js only on that page.",System page lists jQuery 1.8.3; search page loads it.,VC flag via component exploitation in full exercise.,
IDOR (Insecure Direct Object Reference),Direct links from /qa or new tab,http://localhost:3000/api/admin/comments/1,"/api/posts/[id] (unpublished draft), /api/admin/comments/[id] (hidden)","Open a few IDs in new tabs (1,2,3...). Confirm content returns without auth (no login flow).",Hidden/draft content responds to direct ID access.,Draft post (IDOR flag) / hidden admin comment in full exercise.,
XXE (XML External Entity),Internal sidecar; usually tested via tool/cURL,internal: xxe:5000 (not exposed),"xxe:/parse, xxe:/xml-contact, /import (if proxied)",Confirm the xxe container is up (`docker compose ps`) and reachable from the app logs. No public UI by design.,Service reachable internally; not exposed on the web app.,/etc/flag.txt inside xxe container (full XXE exercise).,
Path Traversal,Utility links or /qa card; safe probe via README.md,http://localhost:3000/api/files/view?path=README.md,"/api/files/view?path=…, /api/themes/render?name=…",Request a harmless file; 200 or a readable error confirms surface. Do not fetch sensitive files during routine checks.,Endpoint responds; logs show attempted path.,/var/www/flag.txt mounted (full traversal exercise).,
Sensitive Data Exposure,/system links,http://localhost:3000/.config.bak,"/.config.bak, /api/debug",Open /system then follow links to debug or config. Confirm the endpoints respond; avoid copying secrets in reports.,Debug/config endpoints accessible per design.,Data exposure flag in backup/debug output (full exercise).,
SSRF (Server-Side Request Forgery),/qa card or utility pages,http://localhost:3000/api/preview?url=http://example.com,"/api/preview?url=…, /api/webhook/validate?callback=…",Preview a public URL; confirm server fetch works (length/status). Do not target internal hosts during routine checks.,Preview returns fetched snippet metadata.,Internal int-flag-service:8080/flag (full SSRF exercise).,
Open Redirect,/redirect and /go pages,http://localhost:3000/redirect?to=/redirect-success?message=OK,"/redirect?to=…, /go?site=…",Use in-app forms/buttons to navigate; confirm you land on /redirect-success with the expected message.,Browser follows redirect; success page displays.,Success page reveals flag only when arrived via redirect (full exercise).,
